2019:02:28 21:46:41.699 INFO  --- [restartedMain] com.cenblock.gx_ex.GxExApplication : Starting GxExApplication on Patrickui-MacBook-Pro.local with PID 11913 (/Users/patrick/Documents/dev/sorimachi/gx_project/WebProject/out/production/classes started by patrick in /Users/patrick/Documents/dev/sorimachi/gx_project/WebProject) 
2019:02:28 21:46:41.740 INFO  --- [restartedMain] com.cenblock.gx_ex.GxExApplication : The following profiles are active: dev 
2019:02:28 21:46:41.822 INFO  --- [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2019:02:28 21:46:41.823 INFO  --- [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2019:02:28 21:46:43.128 INFO  --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode. 
2019:02:28 21:46:43.270 INFO  --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 125ms. Found 4 repository interfaces. 
2019:02:28 21:46:43.785 INFO  --- [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$921e0a86] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019:02:28 21:46:44.275 INFO  --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http) 
2019:02:28 21:46:44.305 INFO  --- [restartedMain] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2019:02:28 21:46:44.306 INFO  --- [restartedMain] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.16] 
2019:02:28 21:46:44.315 INFO  --- [restartedMain] o.a.c.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/patrick/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.] 
2019:02:28 21:46:44.437 INFO  --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2019:02:28 21:46:44.437 INFO  --- [restartedMain] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 2614 ms 
2019:02:28 21:46:44.634 INFO  --- [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting... 
2019:02:28 21:46:44.943 INFO  --- [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed. 
2019:02:28 21:46:46.516 INFO  --- [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2019:02:28 21:46:46.567 INFO  --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer : LiveReload server is running on port 35729 
2019:02:28 21:46:47.138 INFO  --- [restartedMain] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor' 
2019:02:28 21:46:47.188 WARN  --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2019:02:28 21:46:47.283 INFO  --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html] 
2019:02:28 21:46:47.508 INFO  --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2019:02:28 21:46:47.512 INFO  --- [restartedMain] com.cenblock.gx_ex.GxExApplication : Started GxExApplication in 7.902 seconds (JVM running for 10.702) 
2019:02:28 21:47:16.974 INFO  --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet' 
2019:02:28 21:47:16.975 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet' 
2019:02:28 21:47:16.989 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : Completed initialization in 14 ms 
